date,longitude,latitude,ozone
1985-10-01T00:00:00Z,-179.375,-73.5,302
1985-10-01T00:00:00Z,-178.125,-73.5,302
1985-10-01T00:00:00Z,-176.875,-73.5,302
1985-10-01T00:00:00Z,-175.625,-73.5,302
1985-10-01T00:00:00Z,-174.375,-73.5,304
1985-10-01T00:00:00Z,-173.125,-73.5,304
1985-10-01T00:00:00Z,-171.875,-73.5,304
1985-10-01T00:00:00Z,-170.625,-73.5,304
1985-10-01T00:00:00Z,-164.375,-73.5,287
1985-10-01T00:00:00Z,-163.125,-73.5,287
1985-10-01T00:00:00Z,-161.875,-73.5,287
1985-10-01T00:00:00Z,-160.625,-73.5,287
1985-10-01T00:00:00Z,-159.375,-73.5,274
1985-10-01T00:00:00Z,-158.125,-73.5,274
1985-10-01T00:00:00Z,-156.875,-73.5,274
1985-10-01T00:00:00Z,-155.625,-73.5,274
1985-10-01T00:00:00Z,-154.375,-73.5,264
1985-10-01T00:00:00Z,-153.125,-73.5,264
1985-10-01T00:00:00Z,-151.875,-73.5,264
1985-10-01T00:00:00Z,-150.625,-73.5,264
1985-10-01T00:00:00Z,-149.375,-73.5,242
1985-10-01T00:00:00Z,-148.125,-73.5,242
1985-10-01T00:00:00Z,-146.875,-73.5,242
1985-10-01T00:00:00Z,-145.625,-73.5,242
1985-10-01T00:00:00Z,-144.375,-73.5,211
1985-10-01T00:00:00Z,-143.125,-73.5,211
1985-10-01T00:00:00Z,-141.875,-73.5,211
1985-10-01T00:00:00Z,-140.625,-73.5,211
1985-10-01T00:00:00Z,-134.375,-73.5,195
1985-10-01T00:00:00Z,-133.125,-73.5,195
1985-10-01T00:00:00Z,-131.875,-73.5,195
1985-10-01T00:00:00Z,-130.625,-73.5,195
1985-10-01T00:00:00Z,-129.375,-73.5,197
1985-10-01T00:00:00Z,-128.125,-73.5,197
1985-10-01T00:00:00Z,-126.875,-73.5,197
1985-10-01T00:00:00Z,-125.625,-73.5,197
1985-10-01T00:00:00Z,-124.375,-73.5,196
1985-10-01T00:00:00Z,-123.125,-73.5,196
1985-10-01T00:00:00Z,-121.875,-73.5,196
1985-10-01T00:00:00Z,-120.625,-73.5,196
1985-10-01T00:00:00Z,-119.375,-73.5,198
1985-10-01T00:00:00Z,-118.125,-73.5,198
1985-10-01T00:00:00Z,-116.875,-73.5,198
1985-10-01T00:00:00Z,-115.625,-73.5,198
1985-10-01T00:00:00Z,-104.375,-73.5,193
1985-10-01T00:00:00Z,-103.125,-73.5,193
1985-10-01T00:00:00Z,-101.875,-73.5,193
1985-10-01T00:00:00Z,-100.625,-73.5,193
1985-10-01T00:00:00Z,-99.375,-73.5,187
1985-10-01T00:00:00Z,-98.125,-73.5,187
1985-10-01T00:00:00Z,-96.875,-73.5,187
1985-10-01T00:00:00Z,-95.625,-73.5,187
1985-10-01T00:00:00Z,-94.375,-73.5,190
1985-10-01T00:00:00Z,-93.125,-73.5,190
1985-10-01T00:00:00Z,-91.875,-73.5,190
1985-10-01T00:00:00Z,-90.625,-73.5,190
1985-10-01T00:00:00Z,-89.375,-73.5,199
1985-10-01T00:00:00Z,-88.125,-73.5,199
1985-10-01T00:00:00Z,-86.875,-73.5,199
1985-10-01T00:00:00Z,-85.625,-73.5,199
1985-10-01T00:00:00Z,-84.375,-73.5,194
1985-10-01T00:00:00Z,-83.125,-73.5,194
1985-10-01T00:00:00Z,-81.875,-73.5,194
1985-10-01T00:00:00Z,-80.625,-73.5,194
1985-10-01T00:00:00Z,-79.375,-73.5,197
1985-10-01T00:00:00Z,-78.125,-73.5,197
1985-10-01T00:00:00Z,-76.875,-73.5,197
1985-10-01T00:00:00Z,-75.625,-73.5,197
1985-10-01T00:00:00Z,-74.375,-73.5,199
1985-10-01T00:00:00Z,-73.125,-73.5,199
1985-10-01T00:00:00Z,-71.875,-73.5,199
1985-10-01T00:00:00Z,-70.625,-73.5,199
1985-10-01T00:00:00Z,-64.375,-73.5,213
1985-10-01T00:00:00Z,-63.125,-73.5,213
1985-10-01T00:00:00Z,-61.875,-73.5,213
1985-10-01T00:00:00Z,-60.625,-73.5,213
1985-10-01T00:00:00Z,-59.375,-73.5,218
1985-10-01T00:00:00Z,-58.125,-73.5,218
1985-10-01T00:00:00Z,-56.875,-73.5,218
1985-10-01T00:00:00Z,-55.625,-73.5,218
1985-10-01T00:00:00Z,-54.375,-73.5,221
1985-10-01T00:00:00Z,-53.125,-73.5,221
1985-10-01T00:00:00Z,-51.875,-73.5,221
1985-10-01T00:00:00Z,-50.625,-73.5,221
1985-10-01T00:00:00Z,-49.375,-73.5,229
1985-10-01T00:00:00Z,-48.125,-73.5,229
1985-10-01T00:00:00Z,-46.875,-73.5,229
1985-10-01T00:00:00Z,-45.625,-73.5,229
1985-10-01T00:00:00Z,-29.375,-73.5,209
